model,site,year,predicted
CanESM2.CanRCM4,vaira,2012,71
CanESM2.CanRCM4,vaira,2013,53
CanESM2.CanRCM4,vaira,2014,52
CanESM2.CanRCM4,vaira,2015,71
CanESM2.CanRCM4,vaira,2016,85
CanESM2.CanRCM4,vaira,2017,57
CanESM2.CanRCM4,vaira,2018,64
CanESM2.CanRCM4,vaira,2019,52
CanESM2.CanRCM4,vaira,2020,52
CanESM2.CanRCM4,vaira,2021,65
CanESM2.CanRCM4,vaira,2022,87
CanESM2.CanRCM4,vaira,2023,64
CanESM2.CanRCM4,vaira,2024,58
CanESM2.CanRCM4,vaira,2025,69
CanESM2.CanRCM4,vaira,2026,59
CanESM2.CanRCM4,vaira,2027,54
CanESM2.CanRCM4,vaira,2028,44
CanESM2.CanRCM4,vaira,2029,57
CanESM2.CanRCM4,vaira,2030,53
CanESM2.CanRCM4,vaira,2031,67
CanESM2.CanRCM4,vaira,2032,39
CanESM2.CanRCM4,vaira,2033,31
CanESM2.CanRCM4,vaira,2034,58
CanESM2.CanRCM4,vaira,2035,40
CanESM2.CanRCM4,vaira,2036,84
CanESM2.CanRCM4,vaira,2037,48
CanESM2.CanRCM4,vaira,2038,58
CanESM2.CanRCM4,vaira,2039,38
CanESM2.CanRCM4,vaira,2040,51
CanESM2.CanRCM4,vaira,2041,54
CanESM2.CanRCM4,vaira,2042,38
CanESM2.CanRCM4,vaira,2043,52
CanESM2.CanRCM4,vaira,2044,63
CanESM2.CanRCM4,vaira,2045,44
CanESM2.CanRCM4,vaira,2046,70
CanESM2.CanRCM4,vaira,2047,35
CanESM2.CanRCM4,vaira,2048,55
CanESM2.CanRCM4,vaira,2049,73
CanESM2.CanRCM4,vaira,2050,45
CanESM2.CanRCM4,vaira,2051,49
CanESM2.CanRCM4,vaira,2052,59
CanESM2.CanRCM4,vaira,2053,49
CanESM2.CanRCM4,vaira,2054,49
CanESM2.CanRCM4,vaira,2055,51
CanESM2.CanRCM4,vaira,2056,50
CanESM2.CanRCM4,vaira,2057,66
CanESM2.CanRCM4,vaira,2058,59
CanESM2.CanRCM4,vaira,2059,74
CanESM2.CanRCM4,vaira,2060,38
CanESM2.CanRCM4,vaira,2061,42
CanESM2.CanRCM4,vaira,2062,42
CanESM2.CanRCM4,vaira,2063,47
CanESM2.CanRCM4,vaira,2064,40
CanESM2.CanRCM4,vaira,2065,40
CanESM2.CanRCM4,vaira,2066,65
CanESM2.CanRCM4,vaira,2067,65
CanESM2.CanRCM4,vaira,2068,53
CanESM2.CanRCM4,vaira,2069,53
